dataset,class_code,缺失类型,样本数,占比,ratio,分母
TCGA_LIHC,PCG,全部完整（PCG）,358,94.96%,0.949602,377
TCGA_LIHC,CG,仅缺 P（CG）,1,0.27%,0.002653,377
TCGA_LIHC,PG,仅缺 C（PG）,0,0.00%,0.000000,377
TCGA_LIHC,PC,仅缺 G（PC）,6,1.59%,0.015915,377
TCGA_LIHC,G,缺 PC（仅 G）,12,3.18%,0.031830,377
TCGA_LIHC,C,缺 PG（仅 C）,0,0.00%,0.000000,377
TCGA_LIHC,P,缺 CG（仅 P）,0,0.00%,0.000000,377
TCGA-BRCA,PCG,全部完整（PCG）,1059,96.45%,0.964481,1098
TCGA-BRCA,CG,仅缺 P（CG）,36,3.28%,0.032787,1098
TCGA-BRCA,PG,仅缺 C（PG）,0,0.00%,0.000000,1098
TCGA-BRCA,PC,仅缺 G（PC）,3,0.27%,0.002732,1098
TCGA-BRCA,G,缺 PC（仅 G）,0,0.00%,0.000000,1098
TCGA-BRCA,C,缺 PG（仅 C）,0,0.00%,0.000000,1098
TCGA-BRCA,P,缺 CG（仅 P）,0,0.00%,0.000000,1098
TCGA-COAD,PCG,全部完整（PCG）,448,97.39%,0.973913,460
TCGA-COAD,CG,仅缺 P（CG）,9,1.96%,0.019565,460
TCGA-COAD,PG,仅缺 C（PG）,0,0.00%,0.000000,460
TCGA-COAD,PC,仅缺 G（PC）,1,0.22%,0.002174,460
TCGA-COAD,G,缺 PC（仅 G）,0,0.00%,0.000000,460
TCGA-COAD,C,缺 PG（仅 C）,0,0.00%,0.000000,460
TCGA-COAD,P,缺 CG（仅 P）,2,0.43%,0.004348,460
TCGA-PRAD,PCG,全部完整（PCG）,401,80.36%,0.803607,499
TCGA-PRAD,CG,仅缺 P（CG）,96,19.24%,0.192385,499
TCGA-PRAD,PG,仅缺 C（PG）,0,0.00%,0.000000,499
TCGA-PRAD,PC,仅缺 G（PC）,2,0.40%,0.004008,499
TCGA-PRAD,G,缺 PC（仅 G）,0,0.00%,0.000000,499
TCGA-PRAD,C,缺 PG（仅 C）,0,0.00%,0.000000,499
TCGA-PRAD,P,缺 CG（仅 P）,0,0.00%,0.000000,499
TCGA-READ,PCG,全部完整（PCG）,160,93.57%,0.935673,171
TCGA-READ,CG,仅缺 P（CG）,6,3.51%,0.035088,171
TCGA-READ,PG,仅缺 C（PG）,0,0.00%,0.000000,171
TCGA-READ,PC,仅缺 G（PC）,5,2.92%,0.029240,171
TCGA-READ,G,缺 PC（仅 G）,0,0.00%,0.000000,171
TCGA-READ,C,缺 PG（仅 C）,0,0.00%,0.000000,171
TCGA-READ,P,缺 CG（仅 P）,0,0.00%,0.000000,171
